instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,822
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,986
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,1712
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,1913
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,1944
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,2046
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,2744
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,2471
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,2227
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,1471
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,3429
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,3204
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,1683
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,4191
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,4714
151,2011-05-31,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,3982
158,2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,4833
166,2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,5180
175,2011-06-24,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,4991
189,2011-07-08,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,4040
205,2011-07-24,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,3606
221,2011-08-09,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,4602
226,2011-08-14,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,3820
229,2011-08-17,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,4694
246,2011-09-03,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,4484
249,2011-09-06,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,2710
269,2011-09-26,4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,4630
283,2011-10-10,4,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,5117
285,2011-10-12,4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,2416
290,2011-10-17,4,0,10,0,1,1,1,0.534167,0.510725,0.579583,0.175379,4570
294,2011-10-21,4,0,10,0,5,1,1,0.4275,0.423596,0.574167,0.221396,4304
326,2011-11-22,4,0,11,0,2,1,3,0.416667,0.421696,0.9625,0.118792,1607
342,2011-12-08,4,0,12,0,4,1,1,0.265833,0.256938,0.58,0.240058,3322
343,2011-12-09,4,0,12,0,5,1,1,0.290833,0.317542,0.695833,0.0827167,3620
356,2011-12-22,1,0,12,0,4,1,2,0.423333,0.426121,0.7575,0.047275,3068
372,2012-01-07,1,1,1,0,6,0,1,0.393333,0.390779,0.531667,0.174758,4521
387,2012-01-22,1,1,1,0,0,0,2,0.1625,0.16225,0.79625,0.199638,1977
389,2012-01-24,1,1,1,0,2,1,1,0.3425,0.349108,0.835833,0.123767,4339
398,2012-02-02,1,1,2,0,4,1,2,0.399167,0.398971,0.672917,0.187187,3761
402,2012-02-06,1,1,2,0,1,1,1,0.282609,0.296426,0.622174,0.1538,3784
416,2012-02-20,1,1,2,1,1,0,1,0.28,0.273391,0.507826,0.229083,3129
425,2012-02-29,1,1,2,0,3,1,2,0.344348,0.34847,0.804783,0.179117,1834
434,2012-03-09,1,1,3,0,5,1,2,0.410833,0.397083,0.407083,0.4148,4569
447,2012-03-22,2,1,3,0,4,1,1,0.554167,0.531567,0.83125,0.117562,6871
451,2012-03-26,2,1,3,0,1,1,1,0.445833,0.43875,0.477917,0.386821,5558
454,2012-03-29,2,1,3,0,4,1,1,0.494167,0.482304,0.439167,0.31965,6133
467,2012-04-11,2,1,4,0,3,1,1,0.348696,0.337274,0.469565,0.295274,4862
484,2012-04-28,2,1,4,0,6,0,2,0.376667,0.377504,0.489583,0.129975,4220
492,2012-05-06,2,1,5,0,0,0,2,0.5625,0.546737,0.74,0.149879,6359
495,2012-05-09,2,1,5,0,3,1,2,0.575,0.553025,0.744167,0.216412,4717
500,2012-05-14,2,1,5,0,1,1,2,0.573333,0.5499,0.789583,0.212692,2843
503,2012-05-17,2,1,5,0,4,1,1,0.593333,0.572613,0.52,0.229475,7384
530,2012-06-13,2,1,6,0,3,1,1,0.655833,0.611117,0.582083,0.343279,7421
531,2012-06-14,2,1,6,0,4,1,1,0.648333,0.624383,0.569583,0.253733,7363
537,2012-06-20,2,1,6,0,3,1,1,0.7825,0.720975,0.592083,0.113812,6211
546,2012-06-29,3,1,6,0,5,1,1,0.834167,0.786613,0.48875,0.165417,5463
551,2012-07-04,3,1,7,1,3,0,1,0.789167,0.732337,0.53875,0.13495,7403
560,2012-07-13,3,1,7,0,5,1,2,0.731667,0.667933,0.485833,0.08085,7499
563,2012-07-16,3,1,7,0,1,1,1,0.763333,0.724125,0.645,0.164187,6830
564,2012-07-17,3,1,7,0,2,1,1,0.818333,0.755683,0.505833,0.114429,6786
565,2012-07-18,3,1,7,0,3,1,1,0.793333,0.745583,0.577083,0.137442,5713
567,2012-07-20,3,1,7,0,5,1,2,0.665833,0.613025,0.844167,0.208967,5870
571,2012-07-24,3,1,7,0,2,1,1,0.750833,0.70645,0.655,0.211454,7592
633,2012-09-24,4,1,9,0,1,1,1,0.514167,0.502513,0.492917,0.142404,7436
658,2012-10-19,4,1,10,0,5,1,2,0.563333,0.537896,0.815,0.134954,5424
661,2012-10-22,4,1,10,0,1,1,1,0.4875,0.482942,0.568333,0.0814833,7058
665,2012-10-26,4,1,10,0,5,1,2,0.545833,0.52275,0.807083,0.132467,7444
683,2012-11-13,4,1,11,0,2,1,2,0.343333,0.323225,0.662917,0.342046,4094
687,2012-11-17,4,1,11,0,6,0,1,0.325,0.326383,0.545417,0.179729,5629
689,2012-11-19,4,1,11,0,1,1,2,0.380833,0.375621,0.623333,0.235067,5499
713,2012-12-13,4,1,12,0,4,1,1,0.295833,0.294188,0.485833,0.174129,5532
731,2012-12-31,1,1,12,0,1,1,2,0.215833,0.223487,0.5775,0.154846,2729
